# Variable usage in CMIP6 dataset list compiled by WGI TSU based on IPCC author information
# Call: ./varlist4dreq.py output/cmip6_list_2022-05-17.json
# Date: 2022-05-20
#
Variable,Count
ssp585.tasmax,29
ssp585.tasmin,29
ssp585.tauuo,11
ssp585.tauvo,11
ssp585.thetao,29
ssp585.tos,33
ssp585.ts,43
ssp585.tsl,27
ssp585.ua,70
ssp585.uo,29
ssp585.va,13
ssp585.vo,29
ssp585.wfo,17
ssp585.zg,27
ssp585.zostoga,4
